Uniprot ID,molecule ID,output
P71828,CHEBI:57925,1
A0A1D8PGI8,CHEBI:16897,1
Q8NEZ4,C00019,1
F4K5T2,CHEBI:35235,1
Q05762,CHEBI:57453,1
Q8NBN7,CHEBI:58349,1
Q6Z6M4,CHEBI:15562,1
Q03557,CHEBI:58359,1
P04551,C00002,1
Q07993,CHEBI:17151,1
P38122,CHEBI:11851,1
Q9SJM7,CHEBI:16704,1
P13697,CHEBI:58349,0
Q9C942,C00323,1
P38555,CHEBI:37565,1
P36615,C00002,1
Q3UYH7,CHEBI:30616,1
Q9HDU5,CHEBI:58336,1
Q9VQI8,CHEBI:58223,1
P05459,CHEBI:57540,1
Q9W1V6,C03758,1
A2QL29,CHEBI:17594,1
P30140,CHEBI:57783,1
A0A1X9ISH5,CHEBI:58635,1
Q97FZ9,CHEBI:57945,1
Q32KD2,CHEBI:59789,1
P00359,CHEBI:57540,1
A0A2R6Q8R5,CHEBI:66914,1
Q95RU8,CHEBI:59789,1
F4JJE0,CHEBI:295975,1
Q2UG12,CHEBI:57912,1
Q4JC35,CHEBI:57569,1
P77258,CHEBI:57783,1
O35084,CHEBI:17933,1
Q9LK64,CHEBI:30616,1
F1PKT7,C00535,1
Q9LSZ9,CHEBI:57379,1
Q96LW4,C00677,1
Q7M753,CHEBI:29032,1
P49407,CHEBI:57288,1
Q5A0M4,CHEBI:37565,1
Q8TDZ2,C00080,1
Q9QY78,CHEBI:30616,1
O00091,CHEBI:58349,1
O08651,CHEBI:58272,1
P53934,CHEBI:59789,1
O08749,CHEBI:57540,1
Q18411,CHEBI:58223,1
Q9Y0F3,CHEBI:57287,1
P77791,CHEBI:57288,1
A0A0R4IH96,CHEBI:17579,1
Q9P1W9,C00002,1
Q92947,CHEBI:57692,1
Q13057,CHEBI:57328,1
Q8R4X1,CHEBI:52639,1
A0A1D8PSW8,C00353,1
E2D2R3,CHEBI:58349,1
Q8TBX8,CHEBI:30616,1
H1AE12,CHEBI:22801,1
P20054,CHEBI:17544,1
P08204,CHEBI:16880,1
P12866,CHEBI:30616,1
Q6GMH6,CHEBI:1722,1
Q8T5G8,CHEBI:17029,1
Q54HW0,CHEBI:30616,1
Q12794,CHEBI:58052,1
Q9C5I1,CHEBI:58601,1
P9WQH7,CHEBI:30616,1
F1N9Y5,C00002,1
Q9VF51,CHEBI:17478,1
Q5SVQ0,CHEBI:57288,1
Q9KJ20,CHEBI:57433,1
Q94521,CHEBI:57288,1
Q56S04,CHEBI:58349,1
P11029,CHEBI:30616,1
F4JAU3,CHEBI:16810,1
P29477,CHEBI:57783,1
Q40062,CHEBI:16810,1
O74887,CHEBI:16240,1
O35264,CHEBI:36707,1
Q12074,CHEBI:326268,1
O02373,CHEBI:57540,1
P16591,C00002,1
A0A0H3LAR3,CHEBI:16199,1
P97697,CHEBI:58433,1
Q8RWE8,CHEBI:58409,1
P12758,CHEBI:16704,1
Q8BFW6,CHEBI:57930,1
Q8IB67,C00024,1
P20425,C00002,1
Q94548,C00002,1
P47924,CHEBI:37565,1
Q12236,C00002,1
Q9C5U2,C00002,1
Q05397,C00002,0
A0A2K9RFZ9,CHEBI:58622,1
Q9R092,CHEBI:17347,1
P41940,CHEBI:58409,1
Q8RWH3,C00002,1
Q922H1,C00019,1
Q99MK8,C00002,1
O70467,C00019,1
P26819,CHEBI:30616,1
Q01887,C00002,1
Q96FC9,C00002,1
Q94ID2,CHEBI:456215,1
P50578,CHEBI:17336,1
Q1R415,CHEBI:17897,1
Q9I4D4,CHEBI:57618,1
W8JWW7,CHEBI:17037,1
Q6TBX7,CHEBI:57618,1
Q8N5Y8,C00003,1
Q9JHE3,CHEBI:52639,1
P96402,CHEBI:17855,1
O81192,CHEBI:58057,1
Q97VW8,CHEBI:57926,1
P0A9P0,CHEBI:57540,1
Q4WQZ2,CHEBI:57925,1
Q05016,CHEBI:33384,1
Q3HUS0,CHEBI:57390,1
P54263,CHEBI:58048,1
O75356,CHEBI:58223,0
Q9M8M7,CHEBI:16810,1
P0A8N5,CHEBI:32551,1
Q589Y0,CHEBI:16816,1
P13221,CHEBI:29991,1
P64636,CHEBI:58053,1
O44334,CHEBI:30616,1
F4IIJ2,CHEBI:30616,1
Q8X0Z1,CHEBI:58756,1
Q8IIW5,C00002,1
P51829,CHEBI:30616,1
Q01984,CHEBI:58432,1
O95045,CHEBI:16704,0
Q9I596,CHEBI:52639,1
P17174,CHEBI:29991,0
Q2RSB2,C00080,1
Q03131,CHEBI:57392,1
P11388,C00002,1
Q54IL5,CHEBI:16113,1
Q6J264,CHEBI:29746,1
O95251,CHEBI:57288,1
O88844,CHEBI:58349,1
